New Mexico,1614937,1580750,1547115,1519933,1739844,1733535,1722939,1706151,1682417,1653329,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2099634,2118390,2116677,2113344
New York,18140894,18082032,18029532,18002855,18196601,18159175,18143184,18143805,18150928,18156652,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,19463131,20108296,19857492,19677151
North Carolina,6947412,6831850,6748135,6656987,7650789,7545828,7428672,7307658,7185403,7060959,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10501384,10449445,10565885,10698973
North Dakota,637229,635427,634199,637364,633666,637808,640945,642858,641548,639762,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674752,685526,702227,723149,738736,755537,756114,756755,760062,763724,779518,777934,779261
Ohio,11070385,11007609,10933683,10861837,11256654,11237752,11212498,11187032,11155493,11111451,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11696507,11797517,11764342,11756058
Oklahoma,3228829,3204174,3166471,3147105,3358044,3339478,3314259,3289634,3265547,3246119,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3960676,3964912,3991225,4019800
Oregon,3034490,2973934,2918745,2858547,3316154,3282055,3243254,3195087,3141421,3087142,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4216116,4244795,4256301,4240137
Pennsylvania,12022128,11980819,11943160,11895604,11994016,12002329,12015888,12038008,12044780,12042545,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12798883,12994440,13012059,12972008
Rhode Island,997852,1000571,1003990,1004649,990819,987704,986966,987858,989203,993412,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1058158,1096345,1096985,1093734
South Carolina,3634507,3600576,3559470,3499064,3885736,3839578,3790066,3738974,3699943,3666456,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5157702,5131848,5193266,5282634
South Dakota,716258,708698,701445,696667,733133,730789,730855,730699,728251,723038,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816193,823740,833859,842751,849670,854663,863693,873732,879386,887127,887799,896164,909824
Tennessee,5085666,5013999,4946886,4890626,5483535,5432679,5378433,5313576,5241168,5163016,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6830325,6925619,6968351,7051339
Texas,17996764,17650479,17339904,17044714,20044141,19712389,19355427,19006240,18679706,18338319,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,28986794,29232474,29558864,30029572
Utah,1875993,1821498,1771941,1729722,2129836,2100562,2065397,2022253,1976774,1930436,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775413,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3203383,3283785,3339113,3380800
Vermont,574004,570115,567141,564526,593740,590579,588665,586352,582827,578900,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625886,627197,626361,626603,625693,625810,624366,625132,624802,624046,642893,646972,647064
Virginia,6464795,6383315,6283853,6213526,6872912,6789225,6732878,6665491,6601392,6536771,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8024004,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8556642,8636471,8657365,8683619
Washington,5247704,5139011,5013443,4900780,5756361,5687832,5604105,5509963,5431024,5334896,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6743009,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7614024,7724031,7740745,7785786
West Virginia,1816179,1805462,1798212,1792481,1806928,1811688,1815588,1818983,1820560,1818490,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854265,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1795263,1791420,1785526,1775156
Wisconsin,5055318,5004636,4952675,4902265,5250446,5222124,5200235,5173828,5137004,5095504,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5824581,5896271,5880101,5892539
Wyoming,469033,463491,457739,453401,479602,480045,480031,480085,478447,474982,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564531,567491,576656,582620,583159,586389,585243,579994,579054,580116,577605,579483,581381
